division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
Middle Atlantic,2016-02-01,144877.9899849746,204.595,4.9,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-03-01,144742.70263391852,205.495,5.0,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-04-01,144594.88031758132,206.405,5.1,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-05-01,144686.7609357628,209.435,4.8,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-06-01,145140.23595417014,211.65499999999997,4.9,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-07-01,145494.1968612841,211.84,4.8,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-08-01,145802.01457300415,212.015,4.9,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-09-01,146095.908603723,212.095,5.0,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-10-01,146510.12793803975,212.965,4.9,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-11-01,146899.1687368287,213.04500000000002,4.7,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2016-12-01,147409.80792400576,212.505,4.7,25461820.0,68627.47207945072,37.907341034537204,15423130.0,83807.0,5.071971127538366
Middle Atlantic,2017-01-01,147867.63491874622,212.31,4.7,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-02-01,148238.86623550515,213.25,4.6,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-03-01,148427.9348549913,213.64999999999998,4.4,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-04-01,148677.48180681342,216.405,4.4,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-05-01,148998.44818139076,217.845,4.4,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-06-01,149352.52945979004,220.015,4.3,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-07-01,149810.32687012214,221.10500000000002,4.3,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-08-01,150308.29001759712,222.32999999999998,4.4,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-09-01,150864.85003523037,222.82999999999998,4.3,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-10-01,151427.6848592954,222.805,4.2,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-11-01,152029.8182297866,222.03,4.2,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2017-12-01,152589.29092716277,222.64499999999998,4.1,25646984.0,71335.8718301536,38.65228445184822,15509263.0,90435.0,5.063219445898827
Middle Atlantic,2018-01-01,153088.51839492223,224.27,4.0,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-02-01,153417.23530177368,224.14,4.1,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-03-01,154002.29109435424,228.155,4.0,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-04-01,154582.9175232542,227.605,4.0,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-05-01,155201.31920646783,229.35000000000002,3.8,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-06-01,155604.16789637157,230.93,4.0,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-07-01,156159.70194280447,232.095,3.8,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-08-01,156736.90948497213,231.515,3.8,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-09-01,157260.93353225585,231.94,3.7,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-10-01,157386.57854917846,230.99,3.8,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
Middle Atlantic,2018-11-01,157504.39648658206,232.855,3.8,25315218.0,75012.1662051656,39.89866944460048,15555031.0,89045.0,4.969201934386412
